,appid,name,review_score,total_positive,total_negative,total_reviews,type,required_age,is_free,short_description,publishers,price_overview,platforms,categories,genres,release_date,price,genres_clean,Gore,Software Training,Animation & Modeling,Racing,Web Publishing,Action,Free to Play,Sports,Massively Multiplayer,Strategy,Casual,Design & Illustration,Early Access,Simulation,Sexual Content,Indie,Adventure,Nudity,Audio Production,Violent,RPG,Video Production,Utilities
669,548421,PAYDAY 2: Scarface Heist,6,179,52,231,dlc,18,False,"YOU WANNA PLAY ROUGH?The Scarface™ Heist Pack is the 37th DLC pack for PAYDAY 2. The Scarface™ Heist Pack comes with The Scarface™ Mansion Heist, 2 new weapons, 4 masks, materials and patterns and 6 Achievements.",[''],"{'currency': 'EUR', 'initial': 299, 'final': 209, 'discount_percent': 30, 'initial_formatted': '2,99€', 'final_formatted': '2,09€'}","{'windows': True, 'mac': False, 'linux': True}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 21, 'description': 'Downloadable Content'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 35, 'description': 'In-App Purchases'}]","[{'id': '73', 'description': 'Violent'}, {'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]","{'coming_soon': False, 'date': '15 Dec, 2016'}",299.0,['Violent' 'Action' 'RPG'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
670,1090163,NTBSS Top Secret Training Set - Season Pass 2 Characters,2,29,120,149,dlc,0,False,"This Training Set instantly makes Season Pass 2 Characters' Ninjutsu available for your avatar to learn, without having to accrue Training Points via gameplay.",['BANDAI NAMCO Entertainment'],"{'currency': 'EUR', 'initial': 799, 'final': 399, 'discount_percent': 50, 'initial_formatted': '7,99€', 'final_formatted': '3,99€'}","{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 49, 'description': 'PvP'}, {'id': 36, 'description': 'Online PvP'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 21, 'description': 'Downloadable Content'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}]","{'coming_soon': False, 'date': '25 Jun, 2020'}",799.0,['Action'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671,31180,Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay ,8,45,8,53,game,0,False,"About Chapter Two Guybrush's adventures continue on the high seas as pox-plagued pirates lay siege to the innocent Mer-People. In between defending the Mer-People and dodging the persistent pirate hunter hot on his trail, Guybrush manages to catch up to his beloved wife and despised arch-nemesis — but their reunion is short-lived.",['Telltale'],"{'currency': 'EUR', 'initial': 1249, 'final': 249, 'discount_percent': 80, 'initial_formatted': '12,49€', 'final_formatted': '2,49€'}","{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}]","[{'id': '25', 'description': 'Adventure'}, {'id': '3', 'description': 'RPG'}]","{'coming_soon': False, 'date': '20 Aug, 2009'}",1249.0,['Adventure' 'RPG'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
672,1531250,Defend the Rook,8,60,15,75,game,0,False,"A roguelike tactics board combat combined with tower defense elements. Defeat the invading hordes to stay alive and save the land! Enjoy more tactics than a normal TD game, combined with the added challenge of building towers and fighting off waves of enemies!","['Goblinz Publishing', 'Maple Whispering Limited']","{'currency': 'EUR', 'initial': 1499, 'final': 449, 'discount_percent': 70, 'initial_formatted': '14,99€', 'final_formatted': '4,49€'}","{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 23, 'description': 'Steam Cloud'}, {'id': 15, 'description': 'Stats'}]","[{'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '2', 'description': 'Strategy'}]","{'coming_soon': False, 'date': '26 Oct, 2021'}",1499.0,['Indie' 'RPG' 'Strategy'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
673,109700,Achron,5,33,18,51,game,0,False,"As one of the survivors and humankind's first “Achronal” being, you must piece together what happened and unravel the mysteries surrounding the alien invasion.",['Hazardous Software Inc.'],"{'currency': 'EUR', 'initial': 1999, 'final': 1999, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '19,99€'}","{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}]","[{'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]","{'coming_soon': False, 'date': '29 Aug, 2011'}",1999.0,['Indie' 'Strategy'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
674,1307580,TOEM,9,795,8,803,game,0,False,"Set off on a delightful expedition and use your photographic eye to uncover the mysteries of the magical TOEM in this hand-drawn adventure game. Chat with quirky characters, solve their problems by snapping neat photos, and make your way through a relaxing landscape!",['Something We Made'],"{'currency': 'EUR', 'initial': 1679, 'final': 570, 'discount_percent': 66, 'initial_formatted': '16,79€', 'final_formatted': '5,70€'}","{'windows': True, 'mac': True, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 13, 'description': 'Captions available'}, {'id': 23, 'description': 'Steam Cloud'}]","[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'coming_soon': False, 'date': '17 Sep, 2021'}",1679.0,['Adventure' 'Casual' 'Indie'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
675,1162130,Windbound,5,298,189,487,game,0,False,"The Forbidden Islands are Calling, Unlock their Secrets. Shipwrecked on an island, explore, adapt and navigate the land and perilous seas to stay alive.",['Deep Silver '],"{'currency': 'EUR', 'initial': 1999, 'final': 299, 'discount_percent': 85, 'initial_formatted': '19,99€', 'final_formatted': '2,99€'}","{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 28, 'description': 'Full controller support'}]","[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]","{'coming_soon': False, 'date': '28 Aug, 2020'}",1999.0,['Adventure' 'Indie' 'RPG'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
676,502800,SENRAN KAGURA ESTIVAL VERSUS,8,1205,72,1277,game,0,False,"Thrust into a parallel dimension, our buxom shinobi prepare for a new kind of beach-side battle. Can the islands’ hosts be trusted? Will the other schools play fair? Will there be time to enjoy the beach before the fighting starts? Will anyone manage to keep their clothes intact?","['XSEED Games', 'Marvelous USA, Inc.', 'Marvelous']","{'currency': 'EUR', 'initial': 2999, 'final': 1199, 'discount_percent': 60, 'initial_formatted': '29,99€', 'final_formatted': '11,99€'}","{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 18, 'description': 'Partial Controller Support'}, {'id': 23, 'description': 'Steam Cloud'}]","[{'id': '1', 'description': 'Action'}]","{'coming_soon': False, 'date': '17 Mar, 2017'}",2999.0,['Action'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677,272330,Shadow Blade: Reload,8,66,10,76,game,0,False,"Shadow Blade is an action-platformer set in a visually striking world where the ancient teachings of ninjas and samurai clash upon a modern landscape. Sprint through stages littered with traps, slaying enemies along your path without hesitation as Kuro, the blade of shadow!",['Dead Mage'],"{'currency': 'EUR', 'initial': 819, 'final': 122, 'discount_percent': 85, 'initial_formatted': '8,19€', 'final_formatted': '1,22€'}","{'windows': True, 'mac': True, 'linux': True}","[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 30, 'description': 'Steam Workshop'}, {'id': 23, 'description': 'Steam Cloud'}, {'id': 25, 'description': 'Steam Leaderboards'}, {'id': 17, 'description': 'Includes level editor'}]","[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]","{'coming_soon': False, 'date': '10 Aug, 2015'}",819.0,['Action' 'Indie'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
678,1064270,Halo 2: Anniversary,6,926,250,1176,dlc,0,False,"Halo 2: Anniversary* for Halo: The Master Chief Collection comes to PC looking better than ever, including up to 4K UHD resolution. Now optimized for PC with mouse and keyboard support and other native PC features.",['Xbox Game Studios'],"{'currency': 'EUR', 'initial': 999, 'final': 399, 'discount_percent': 60, 'initial_formatted': '9,99€', 'final_formatted': '3,99€'}","{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 49, 'description': 'PvP'}, {'id': 36, 'description': 'Online PvP'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 21, 'description': 'Downloadable Content'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 29, 'description': 'Steam Trading Cards'}]","[{'id': '1', 'description': 'Action'}]","{'coming_soon': False, 'date': '12 May, 2020'}",999.0,['Action'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
